fen,my_move
r1bq1rk1/pppn1ppp/4pn2/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Nf3
rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 4,Nf6
rn1qkb1r/ppp2ppp/4pn2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5
rnbqkbnr/pp2pppp/8/2Pp4/5B2/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,Nc6
rnbqk2r/pppp1p2/4pn1p/6p1/1bPP3B/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6,Bg3
rnbqkb1r/pppp1ppp/5n2/8/3QP3/5N2/PPP2PPP/RNB1KB1R b KQkq - 0 4,Nc6
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,Nc6
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3
rnbqkbnr/pp2pppp/8/2pp4/3P4/2P1P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Nc6
r1bqkbnr/pp2pppp/2n5/2pp4/3P1P2/2P1P3/PP4PP/RNBQKBNR b KQkq - 0 4,Nf6
rnbqk2r/ppp2p2/4pn1p/3p2p1/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,Bg3
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Nf6
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e5
rn1qkbnr/p1p1pppp/8/1b6/2pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 6,Nc3
r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,exd4
rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,e4
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 2 5,Bg4
r2qkb1r/pp3ppp/2n1pn2/2pp4/3P1Bb1/2P1PN2/PP1NBPPP/R2QK2R b KQkq - 1 7,Bd6
r2qkb1r/pp1n1ppp/2p1pn2/3p1bB1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bd3
r1bqkb1r/ppp2ppp/2n5/3pp3/4N3/3B1N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,dxe4
rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,c5
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Qxd4
rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 7,Bh4
r1bqk2r/pppp1ppp/2n2n2/2b5/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 2 6,d6
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N4P/PP2BPP1/R1BQK1NR w KQ - 0 7,dxe5
rnbq1rk1/ppp2pp1/4pn1p/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 7,Bh4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq - 3 4,Be7
rn1qk2r/pp2nppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,e3
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3
rnbqkbnr/ppp2ppp/8/3P4/3p4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,Qxd5
rnbqkbnr/pp2pppp/2pp4/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3
rnbqkbnr/pp1p1ppp/2p1p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3
r1bqkb1r/pppp1ppp/2n2n2/4N3/3PP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nxe5
r1bqkb1r/pppp1ppp/5n2/4P3/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,Nxe4
rnbqkbnr/ppp1pp1p/3p2p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,Nc6
rnbq1rk1/pppp1pp1/4pn1p/6B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 0 6,Bh4
r1b1k2r/ppp2ppp/2p5/2b5/2B1P2q/2N2Q1P/PPPP1nP1/R1B2RK1 b kq - 1 9,Nxh3+
rn1qkbnr/ppp1pppp/8/5b2/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4
rn1qkbnr/ppp1pppp/6b1/8/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Bxc4
rnbqkb1r/pppp1ppp/5n2/8/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Qxd4
r1bqkb1r/pppp1ppp/2n2n2/8/2PQ4/2N5/PP2PPPP/R1B1KBNR w KQkq - 1 5,Qd1
rnbqkb1r/pppp1ppp/5n2/4P3/3p4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nd5
rnbqkbnr/ppp2ppp/8/3pp3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,dxe4
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 6,Nc6
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Bc5
rnbqk2r/ppp1bppp/4pB2/3p4/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 5,Bxf6
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4
rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 4,Nxd5
rnbqkb1r/ppp2ppp/4p3/3n4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 5,Nxc3
r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 5,Nxd5
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,e4
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,c5
rn1qkbnr/ppp1pppp/8/5b2/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 1 4,Bxc4
rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e4
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,d5
rnbqkbnr/pppp1ppp/8/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nf6
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,exd4
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,Nc6
rnbqk2r/ppp2p2/4p2p/3p2p1/1bPPn3/2N2NB1/PP2PPPP/R2QKB1R w KQkq - 2 8,Qc2
rnbqkbnr/ppp1pppp/8/3p4/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 2,c5
r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQ - 3 8,O-O
rnbqkbnr/pp2pppp/8/2Pp4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,Nc6
rnbqk2r/pp2bppp/4pn2/3p2B1/2PN4/2N5/PP2PPPP/R2QKB1R w KQkq - 1 7,e3
rnbqkbnr/pp2pppp/8/2pP4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,Qxd5
r1bqkbnr/pp3ppp/2n1p3/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5
rnbq1rk1/p1p1bpp1/1p2pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 8,Bd3
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 2 4,Bc5
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,dxe4
rnbqk2r/ppp2ppp/4pn2/3p2B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,Nf3
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 1 6,Nc6
rnbqkbnr/pp2pppp/8/2Pp4/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,e6
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,c5
rnbqk2r/pp3ppp/5B2/2bp4/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 8,Qxf6
rn1qk2r/ppp1bppp/4pn2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3
rnbqkbnr/pp2pppp/8/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R b KQkq - 0 3,Nc6
rnbq1rk1/ppp2ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 4 6,e3
r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,Nf3
rnbqk2r/ppp2ppp/4pn2/3p2B1/2PP4/2b2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,bxc3
rnbqk2r/ppp2pp1/4pn1p/3p2B1/2PP4/2P2N2/P3PPPP/R2QKB1R w KQkq - 0 7,Bh4
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2NP4/PPP2PPP/R1BQKB1R b KQkq - 0 6,Ng4
r1bqk2r/ppp2ppp/2p5/2b5/4P1n1/2NPB3/PPP2PPP/R2QKB1R b KQkq - 2 7,Nxe3
rnbqkb1r/ppp2ppp/4pn2/8/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Bxc4
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3
rn1qkb1r/ppp2ppp/8/3pP3/4n1b1/2N2N2/PPPPB1PP/R1BQK2R b KQkq - 3 6,Bxf3
r1bqkb1r/ppp2ppp/2p5/4P3/3Pn3/8/PPP2PPP/RNBQKB1R b KQkq - 0 6,Qh4
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Bg4
rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bf4
r1bqkb1r/pp3ppp/2n1pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3
rnbqkbnr/pp2pppp/8/2p5/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4
rnbqkbnr/pp2pppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4
rnb1kbnr/ppp2ppp/8/3q4/3P4/8/PP3PPP/RNBQKBNR b KQkq - 0 5,Nc6
r2qkb1r/pp3ppp/2n1pn2/2pp4/3P1Bb1/2PBPN2/PP1N1PPP/R2QK2R b KQkq - 1 7,Bd6
rnbq1rk1/ppp1bppp/4pn2/8/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQ - 5 7,O-O
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,exf4
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 1 5,Nc6
r1b1k2r/ppp2ppp/2p5/2b5/2B1P2q/2N2Q1n/PPPP2P1/R1B2R1K b kq - 1 10,Ng5+
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3
rnbqkbnr/pp1p1ppp/4p3/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3
r1bqkbnr/pp2pppp/2n5/2pp4/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,Nf6
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R b KQkq - 2 5,Bg4
rnbqkb1r/ppp2ppp/8/3pP3/4N3/8/PPPP2PP/R1BQKBNR b KQkq - 0 5,dxe4
rnbq1rk1/ppp1ppb1/3p1npp/6B1/2PPP3/2N5/PP2BPPP/R2QK1NR w KQ - 0 7,Be3
r1bqkb1r/ppp2ppp/5n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R b KQkq - 2 6,Bd7
rnbqkbnr/ppp2ppp/8/3p4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 4,Nf6
rnbqk2r/pp2bppp/4pn2/2pP2B1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,Nxd5
rnbqk2r/ppp2ppp/4pb2/3P4/3P4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 6,exd5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 5,c5
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4
rnbqk2r/pp2Bppp/4p3/2pn4/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,Qxe7
rnbqkb1r/ppp2ppp/5n2/3P4/2P2p2/5N2/PP1P2PP/RNBQKB1R b KQkq - 0 5,c6
rnbqkb1r/pp3ppp/2P2n2/8/2P2p2/5N2/PP1P2PP/RNBQKB1R b KQkq - 0 6,Nxc6
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 2 4,Nf6
r1bqk2r/ppp2ppp/2p2n2/8/4P3/3PP3/PPP3PP/RN1QKB1R b KQkq - 0 7,Ng4
r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e3
rnbqkbnr/pppp2pp/8/4p3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Nf3
rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,Nc6
rnbqk1nr/pp2bppp/2p1p3/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2N4P/PPPP1PP1/R1BQKB1R b KQkq - 0 6,O-O
r1bqkbnr/pppp1ppp/6n1/8/4PB2/8/PPP2PPP/RN1QKBNR w KQkq - 2 5,Bg3
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,dxe5
rnbqkbnr/pp3ppp/2p1p3/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3
r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nxd5
rn1qkbnr/pbp1pppp/1p1p4/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Bb4
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq - 3 4,c5
r2qkb1r/pp1npppp/2p2n2/3p2B1/2PP2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3
r2qkb1r/pp1nppp1/2p2n1p/3p2B1/2PP2b1/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,exd5
rn1qkbnr/ppp1pppp/8/3p4/2PP2b1/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3
r1bqk2r/pp1nbpp1/2p1pn1p/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQkq - 0 8,Bh4
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/P1N5/1P2PPPP/R1BQKBNR b KQkq - 2 4,c5
rnbqkbnr/pp1p1ppp/4p3/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,c4
r1bqkb1r/pp1npppp/2p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,c5
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Bd3
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3
r1bqkb1r/ppp2ppp/2n5/4p3/8/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 8,Bg4
r2qk2r/pp3ppp/2nbpn2/2ppN3/3P1Bb1/2P1P3/PP1NBPPP/R2QK2R b KQkq - 3 8,Bxe2
r1bqkb1r/ppp2ppp/2n5/4p3/4B3/5N2/PPPP1PPP/R1BQK2R b KQkq - 0 7,Bd6
rn1qkb1r/ppp1pppp/5n2/5b2/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 1 5,Nc3
rnb1kbnr/pp2pppp/8/2pq4/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 4,Qd8
rnbqkbnr/ppp2ppp/3pp3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3
rnb1kbnr/ppp2ppp/8/8/2Bq4/4P3/PP3PPP/RNB1K1NR w KQkq - 0 6,exd4
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,d5
rnbq1rk1/pp2bpp1/4pn1p/2pp4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 8,Bd3
r3kb1r/ppp2ppp/2n5/3qp3/4N1b1/3P1N1P/PPP2PP1/R1BQK2R b KQkq - 0 8,Bh5
rn1qkbnr/ppp2ppp/8/3P4/3P1pb1/5N2/PPP3PP/RNBQKB1R b KQkq - 0 5,c6
rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nf6
rnbqkbnr/1p2pppp/p1p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3
rn1qkb1r/pp2ppp1/2p2n1p/3p2B1/2PP2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,Bh4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPNPPP/RNBQKB1R b KQkq - 1 2,Nf6
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/6N1/PPPP1PPP/RNBQKB1R b KQkq - 3 3,Nc6
r1bqkb1r/pp1p1ppp/5n2/2p1Q3/4P3/2N5/PPP2PPP/R1B1KB1R b KQkq - 1 7,Be7
rnbq1rk1/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQ - 1 5,Be2
r1bq1rk1/pppn1pbp/3p1np1/4p1B1/2PPP3/2N4P/PP2BPP1/R2QK1NR w KQ - 0 8,Nf3
rnbqk2r/pp2bppp/4pn2/2Pp2B1/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,Bxc5
rnbqk2r/pp3ppp/4pn2/2bP2B1/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,exd5
r1bqk2r/ppp2pp1/2p2n2/2b4p/4P3/2PP4/PP2BPPP/RNBQK2R b KQkq - 0 7,a6
r1bqkbnr/pp2pppp/2n5/2pp4/3P1P2/4PN2/PPP3PP/RNBQKB1R b KQkq - 0 4,Bg4
rnbq1rk1/ppp2pbp/5np1/4p3/2P1P3/2N4P/PP2BPP1/R1BQK1NR w KQ - 0 8,Bg5
r1bqk2r/ppp2ppp/2p5/8/4P3/2NPbQ2/PPP3PP/R3KB1R b KQkq - 1 9,Bb6
rnbqkb1r/ppp2pp1/4pn1p/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,Bh4
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b2P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 7 5,d6
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3
r1bqk2r/pppp1pp1/2n2n1p/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 1 6,d6
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,cxd5
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 5,Nxd5
rnbq1rk1/pppp1ppp/4pn2/6B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQ - 4 5,Nf3
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Nc6
rnbqkb1r/pp1p1ppp/2p1pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,Nf6
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 3 6,Bg5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 5,c5
rn1qkbnr/ppp2ppp/8/3P4/2B2pb1/5N2/PPPP2PP/RNBQK2R b KQkq - 3 5,Bd6
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3P4/PPP1BPPP/RNBQK2R b KQkq - 2 6,Qd4
r1b1k2r/ppp2ppp/2p2n2/2b5/3qP3/3P4/PPP1BPPP/RNBQ1RK1 b kq - 4 7,h5
rnbqkbnr/pp2pppp/8/2pp4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,Nf6
rnbqkb1r/ppppp2p/5np1/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3
r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 0 4,Nxe5
r1bqkb1r/pppp1ppp/5n2/4n3/3PP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nc6
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,h6
r1bqkb1r/pppp1pp1/2n2n1p/4p3/4P3/2NP1N2/PPP1BPPP/R1BQK2R b KQkq - 1 5,Bb4
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,e3
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 3,Nf6
r1bqkb1r/ppp2ppp/2n5/1B1pp3/4N3/5N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,dxe4
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,cxd5
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq - 4 5,Bg4
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bf4
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 4 6,e3
r1b1kbnr/ppp2ppp/2n5/3q4/3P4/5N2/PP3PPP/RNBQKB1R b KQkq - 2 6,Bg4
rnbqkbnr/pp2pppp/8/2Pp4/8/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 3,Nf6
rnbqkbnr/pp2pppp/2p5/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2P1PN2/PP1N1PPP/R2QKB1R b KQkq - 0 6,e6
rnbqk1nr/pp1p1ppp/2p1p3/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bd2
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5,d6
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2PBP3/PP3PPP/RN1QK1NR b KQkq - 2 5,Bg4
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d5
