fen,my_move,Your_Move_Eval,Best_Move_Eval,Eval_Difference,New_Move_Quality
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 2 6,Bg5,-0.39,-0.63,0.24,Good
r1bqkbnr/pppp1ppp/8/4n3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Nc3,-0.67,-0.62,0.05,Best/Excellent
rnbq1rk1/pp2bppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3,-0.31,-0.36,0.05,Best/Excellent
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,Nf6,0.06,0.02,0.04,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,0.14,-0.73,0.87,Inaccuracy
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,dxc5,0.00,0.00,0.00,Unknown
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,0.23,0.13,0.10,Best/Excellent
rnbqkbnr/ppp2ppp/4p3/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,-0.51,-0.55,0.04,Best/Excellent
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,-0.57,-0.54,0.03,Best/Excellent
rnbqkbnr/pp2pppp/8/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Nc6,0.20,0.24,0.04,Best/Excellent
r1bqkbnr/pppp1ppp/8/4n3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Bf4,-0.31,-0.57,0.26,Good
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,-0.50,-0.94,0.44,Good
rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N2N2/PP2PPPP/R2QKB1R w KQ - 2 7,e3,-0.16,-0.21,0.05,Best/Excellent
r1b1kb1r/ppp2ppp/2n5/3qp3/4N3/3P1N2/PPP2PPP/R1BQK2R b KQkq - 0 7,Bg4,-1.34,-1.49,0.15,Best/Excellent
rn1qkb1r/pp3ppp/2p1pn2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3,-0.08,-0.30,0.22,Good
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5,h6,0.95,0.14,0.81,Inaccuracy
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2N2/PPPP2PP/R1BQKB1R b KQkq - 1 5,Bg4,0.32,-0.21,0.53,Inaccuracy
rnbqkbnr/pp2pppp/8/2pp4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,Nc6,0.55,0.09,0.46,Good
rn1qk1nr/pp2bppp/2p1p3/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,Bxe7,-0.09,-0.09,0.00,Best/Excellent
rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,exd5,0.00,0.00,0.00,Unknown
r1bqkbnr/pp1ppppp/2n5/8/2PQ4/8/PP2PPPP/RNB1KBNR w KQkq - 1 4,Qd1,0.21,0.20,0.01,Best/Excellent
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQ - 4 5,Bg5,-0.14,-0.12,0.02,Best/Excellent
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,Nc6,0.13,0.17,0.04,Best/Excellent
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,Bg4,0.26,-0.03,0.29,Good
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3,-0.30,-0.27,0.03,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,h6,0.27,0.10,0.17,Best/Excellent
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,-0.02,-0.45,0.43,Good
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2P1PN2/PP1N1PPP/R2QKB1R b KQkq - 2 6,e6,0.22,0.28,0.06,Best/Excellent
r1bqkb1r/p4ppp/2p2n2/n3p1N1/B7/8/PPPP1PPP/RNBQK2R b KQkq - 1 8,h6,-1.86,-1.87,0.01,Best/Excellent
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3PB3/PPP2PPP/RN1QKB1R b KQkq - 2 6,Bxe3,0.60,0.45,0.15,Best/Excellent
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d5,-0.70,-0.76,0.06,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p1B1/4P3/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Be7,-0.14,-0.38,0.24,Good
r1bBk2r/ppp2ppp/2p5/2b5/4n3/3P4/PPP2PPP/RN1QKB1R b KQkq - 0 7,Bxf2+,0.00,0.00,0.00,Forced/Mate
r1bBk2r/ppp2ppp/2p5/8/4n3/3P4/PPP1KbPP/RN1Q1B1R b kq - 1 8,Bg4#,0.00,0.00,0.00,Forced/Mate
rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e4,-0.40,-1.48,1.08,Inaccuracy
rnbqk1nr/ppppppbp/6p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nf3,-0.36,-0.54,0.18,Best/Excellent
rnbqkbnr/pp2pppp/2p5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,-0.19,-0.27,0.08,Best/Excellent
r1b1kb1r/ppp2ppp/2n5/3qp3/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 7,Qd8,-0.73,-1.60,0.87,Inaccuracy
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,Nc6,0.04,0.08,0.04,Best/Excellent
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 3,Nf6,0.04,0.06,0.02,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/8/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 3 5,Nc3,0.15,0.15,0.00,Best/Excellent
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq - 0 3,Nc6,0.05,0.02,0.03,Best/Excellent
r2qkb1r/pp1npppp/2p2n2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3,-0.17,-0.23,0.06,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nxd4,1.22,0.15,1.07,Inaccuracy
r1bqkb1r/pppp1ppp/5n2/8/3QP3/2N5/PPP2PPP/R1B1KB1R b KQkq - 0 6,c5,2.08,1.32,0.76,Inaccuracy
r1bqk2r/pp2bppp/2n1pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 7,Bd3,0.16,-0.43,0.59,Inaccuracy
rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2,c5,-0.24,-0.17,0.07,Best/Excellent
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 2 6,h3,-0.47,-0.36,0.11,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,h6,1.07,-0.18,1.25,Inaccuracy
r1bqk2r/ppp2ppp/2p5/2b5/4P3/2NPP3/PPP3PP/R2QKB1R b KQkq - 0 8,Bxe3,-0.93,-0.94,0.01,Best/Excellent
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,c5,0.33,0.21,0.12,Best/Excellent
rnbqkb1r/ppp2ppp/8/3pP3/8/2P2Q2/P1PP2PP/R1B1KBNR b KQkq - 0 6,Be6,0.49,0.08,0.41,Good
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,h6,0.26,0.24,0.02,Best/Excellent
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Be2,-0.53,-0.64,0.11,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 4,Nxe4,0.12,0.11,0.01,Best/Excellent
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,-0.50,-0.47,0.03,Best/Excellent
r1bqk1nr/pppp1ppp/8/4n3/1b2P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 5,Bd2,-0.58,-1.61,1.03,Inaccuracy
rnbqk2r/ppp1bppp/4pn2/8/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq - 3 6,Nf3,-0.43,-0.40,0.03,Best/Excellent
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.34,-0.52,0.18,Best/Excellent
r1bq1bkr/ppp3pp/2n5/3pp1N1/8/3P1N2/PPP2PPP/R1BQK2R b KQ - 0 8,h6,-2.74,-2.65,0.09,Best/Excellent
rnbq1rk1/ppp2ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 6 6,e3,-0.35,-0.40,0.05,Best/Excellent
r1bq1rk1/pppn1ppp/4pn2/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3,-0.23,-0.53,0.30,Good
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Nf3,-0.48,-0.64,0.16,Best/Excellent
rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 4,Nf6,-0.27,-0.20,0.07,Best/Excellent
rn1qkb1r/ppp2ppp/4pn2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,-0.35,-0.45,0.10,Best/Excellent
rnbqkbnr/pp2pppp/8/2Pp4/5B2/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,Nc6,0.00,0.00,0.00,Best/Excellent
rnbqk2r/pppp1p2/4pn1p/6p1/1bPP3B/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6,Bg3,-0.36,-0.32,0.04,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/8/3QP3/5N2/PPP2PPP/RNB1KB1R b KQkq - 0 4,Nc6,-0.25,-0.29,0.04,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,Nc6,-0.13,-0.20,0.07,Best/Excellent
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,-0.33,-0.26,0.07,Best/Excellent
rnbqkbnr/pp2pppp/8/2pp4/3P4/2P1P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Nc6,0.17,-0.04,0.21,Good
r1bqkbnr/pp2pppp/2n5/2pp4/3P1P2/2P1P3/PP4PP/RNBQKBNR b KQkq - 0 4,Nf6,-0.36,-0.43,0.07,Best/Excellent
rnbqk2r/ppp2p2/4pn1p/3p2p1/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,Bg3,-0.43,-0.34,0.09,Best/Excellent
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Nf6,0.15,0.05,0.10,Best/Excellent
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e5,-0.26,-0.32,0.06,Best/Excellent
rn1qkbnr/p1p1pppp/8/1b6/2pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 6,Nc3,-1.92,-1.97,0.05,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,exd4,0.00,0.00,0.00,Unknown
rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,-0.53,-0.55,0.02,Best/Excellent
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,e4,-0.57,-0.49,0.08,Best/Excellent
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,-0.21,-0.30,0.09,Best/Excellent
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.45,-0.59,0.14,Best/Excellent
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4,0.00,0.00,0.00,Unknown
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 2 5,Bg4,0.22,-0.01,0.23,Good
r2qkb1r/pp3ppp/2n1pn2/2pp4/3P1Bb1/2P1PN2/PP1NBPPP/R2QK2R b KQkq - 1 7,Bd6,0.10,0.17,0.07,Best/Excellent
r2qkb1r/pp1n1ppp/2p1pn2/3p1bB1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bd3,-0.14,-0.10,0.04,Best/Excellent
r1bqkb1r/ppp2ppp/2n5/3pp3/4N3/3B1N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,dxe4,0.00,0.00,0.00,Unknown
rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,c5,0.96,-1.04,2.00,Mistake
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Qxd4,0.17,-0.32,0.49,Good
rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 7,Bh4,-0.21,-0.16,0.05,Best/Excellent
r1bqk2r/pppp1ppp/2n2n2/2b5/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 2 6,d6,2.62,0.45,2.17,Mistake
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N4P/PP2BPP1/R1BQK1NR w KQ - 0 7,dxe5,0.00,0.00,0.00,Unknown
rnbq1rk1/ppp2pp1/4pn1p/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 7,Bh4,-0.30,-0.32,0.02,Best/Excellent
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,0.06,-0.27,0.33,Good
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq - 3 4,Be7,0.21,0.13,0.08,Best/Excellent
rn1qk2r/pp2nppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,e3,-0.16,-0.13,0.03,Best/Excellent
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,-0.27,-0.49,0.22,Good
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,-0.54,-0.54,0.00,Best/Excellent
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,-0.22,-0.33,0.11,Best/Excellent
rnbqkbnr/ppp2ppp/8/3P4/3p4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,Qxd5,-0.10,-0.09,0.01,Best/Excellent
rnbqkbnr/pp2pppp/2pp4/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,-0.76,-0.75,0.01,Best/Excellent
rnbqkbnr/pp1p1ppp/2p1p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,-0.54,-0.61,0.07,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4N3/3PP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nxe5,1.44,0.97,0.47,Good
r1bqkb1r/pppp1ppp/5n2/4P3/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,Nxe4,1.32,1.35,0.03,Best/Excellent
rnbqkbnr/ppp1pp1p/3p2p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,-0.55,-0.47,0.08,Best/Excellent
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,Nc6,-0.24,-0.07,0.17,Best/Excellent
rnbq1rk1/pppp1pp1/4pn1p/6B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 0 6,Bh4,-0.22,-0.16,0.06,Best/Excellent
r1b1k2r/ppp2ppp/2p5/2b5/2B1P2q/2N2Q1P/PPPP1nP1/R1B2RK1 b kq - 1 9,Nxh3+,0.00,0.00,0.00,Forced/Mate
rn1qkbnr/ppp1pppp/8/5b2/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,-1.54,-1.47,0.07,Best/Excellent
rn1qkbnr/ppp1pppp/6b1/8/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Bxc4,-1.65,-1.62,0.03,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/8/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Qxd4,0.14,0.14,0.00,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/8/2PQ4/2N5/PP2PPPP/R1B1KBNR w KQkq - 1 5,Qd1,0.13,0.16,0.03,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4P3/3p4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nd5,1.18,0.54,0.64,Inaccuracy
rnbqkbnr/ppp2ppp/8/3pp3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,dxe4,0.00,0.00,0.00,Unknown
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 6,Nc6,0.45,0.17,0.28,Good
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Bc5,0.39,0.11,0.28,Good
rnbqk2r/ppp1bppp/4pB2/3p4/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 5,Bxf6,-0.17,-0.16,0.01,Best/Excellent
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,-0.46,-0.49,0.03,Best/Excellent
rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 4,Nxd5,0.34,0.24,0.10,Best/Excellent
rnbqkb1r/ppp2ppp/4p3/3n4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 5,Nxc3,0.35,0.32,0.03,Best/Excellent
r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 5,Nxd5,0.83,0.21,0.62,Inaccuracy
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,e4,-0.59,-0.58,0.01,Best/Excellent
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,c5,0.32,0.28,0.04,Best/Excellent
rn1qkbnr/ppp1pppp/8/5b2/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 1 4,Bxc4,-0.61,-0.80,0.19,Best/Excellent
rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e4,-1.75,-1.66,0.09,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,d5,1.25,-0.30,1.55,Mistake
rnbqkbnr/pppp1ppp/8/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nf6,-0.22,-0.33,0.11,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,exd4,0.00,0.00,0.00,Unknown
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,Nc6,-0.18,-0.11,0.07,Best/Excellent
rnbqk2r/ppp2p2/4p2p/3p2p1/1bPPn3/2N2NB1/PP2PPPP/R2QKB1R w KQkq - 2 8,Qc2,-0.27,-0.15,0.12,Best/Excellent
rnbqkbnr/ppp1pppp/8/3p4/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 2,c5,0.04,0.05,0.01,Best/Excellent
r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQ - 3 8,O-O,-0.39,-0.37,0.02,Best/Excellent
rnbqkbnr/pp2pppp/8/2Pp4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,Nc6,0.64,0.25,0.39,Good
rnbqk2r/pp2bppp/4pn2/3p2B1/2PN4/2N5/PP2PPPP/R2QKB1R w KQkq - 1 7,e3,-0.19,-0.28,0.09,Best/Excellent
rnbqkbnr/pp2pppp/8/2pP4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,Qxd5,1.41,0.97,0.44,Good
r1bqkbnr/pp3ppp/2n1p3/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,-0.11,-0.37,0.26,Good
rnbq1rk1/p1p1bpp1/1p2pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 8,Bd3,-0.13,-0.12,0.01,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 2 4,Bc5,0.22,0.22,0.00,Best/Excellent
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,dxe4,0.00,0.00,0.00,Unknown
rnbqk2r/ppp2ppp/4pn2/3p2B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,Nf3,-0.24,-0.35,0.11,Best/Excellent
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 1 6,Nc6,0.44,0.20,0.24,Good
rnbqkbnr/pp2pppp/8/2Pp4/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,e6,-0.08,0.02,0.10,Best/Excellent
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,c5,0.23,-0.20,0.43,Good
rnbqk2r/pp3ppp/5B2/2bp4/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 8,Qxf6,0.77,0.78,0.01,Best/Excellent
rn1qk2r/ppp1bppp/4pn2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,-0.16,-0.90,0.74,Inaccuracy
rnbqkbnr/pp2pppp/8/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R b KQkq - 0 3,Nc6,-0.22,-0.23,0.01,Best/Excellent
rnbq1rk1/ppp2ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 4 6,e3,-0.31,-0.27,0.04,Best/Excellent
r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,Nf3,-0.53,-0.95,0.42,Good
rnbqk2r/ppp2ppp/4pn2/3p2B1/2PP4/2b2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,bxc3,0.00,0.00,0.00,Unknown
rnbqk2r/ppp2pp1/4pn1p/3p2B1/2PP4/2P2N2/P3PPPP/R2QKB1R w KQkq - 0 7,Bh4,-0.62,-0.60,0.02,Best/Excellent
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,-0.17,-0.31,0.14,Best/Excellent
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2NP4/PPP2PPP/R1BQKB1R b KQkq - 0 6,Ng4,-0.86,-0.97,0.11,Best/Excellent
r1bqk2r/ppp2ppp/2p5/2b5/4P1n1/2NPB3/PPP2PPP/R2QKB1R b KQkq - 2 7,Nxe3,-1.04,-0.99,0.05,Best/Excellent
rnbqkb1r/ppp2ppp/4pn2/8/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Bxc4,-0.57,-0.44,0.13,Best/Excellent
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3,-0.47,-0.54,0.07,Best/Excellent
rn1qkb1r/ppp2ppp/8/3pP3/4n1b1/2N2N2/PPPPB1PP/R1BQK2R b KQkq - 3 6,Bxf3,0.29,0.00,0.29,Good
r1bqkb1r/ppp2ppp/2p5/4P3/3Pn3/8/PPP2PPP/RNBQKB1R b KQkq - 0 6,Qh4,2.18,2.23,0.05,Best/Excellent
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Bg4,0.14,0.21,0.07,Best/Excellent
rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bf4,-0.27,-0.55,0.28,Good
r1bqkb1r/pp3ppp/2n1pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,-0.21,-0.62,0.41,Good
rnbqkbnr/pp2pppp/8/2p5/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4,-0.27,-0.26,0.01,Best/Excellent
rnbqkbnr/pp2pppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4,0.00,0.00,0.00,Unknown
rnb1kbnr/ppp2ppp/8/3q4/3P4/8/PP3PPP/RNBQKBNR b KQkq - 0 5,Nc6,-0.09,-0.11,0.02,Best/Excellent
